Generacion,k,e,aa,da,af,df,puntos
0,1,3,11,12,2,6,69
0,11,2,9,4,4,2,63
0,39,3,5,13,3,10,63
0,1,2,8,11,8,9,60
0,1,2,8,10,8,9,60
0,1,2,5,7,5,6,57
0,52,3,3,12,7,9,48
0,1,3,12,2,9,1,45
0,21,3,12,6,2,3,39
0,27,1,16,16,7,10,39
0,76,4,20,10,4,9,39
0,1,4,10,6,1,2,36
0,33,3,9,19,1,4,33
0,66,4,20,7,9,10,33
0,9,1,15,10,8,7,27
0,90,1,17,14,5,0,9
1,1,3,11,12,2,6,69
1,1,2,8,10,8,9,60
1,1,2,8,10,8,9,60
1,1,2,8,11,8,9,57
1,39,3,5,10,3,9,54
1,1,2,5,11,8,9,45
1,11,2,9,4,4,2,45
1,39,3,3,12,7,9,45
1,39,3,5,12,4,9,44
1,11,2,5,4,4,6,42
1,1,3,11,13,2,4,36
1,39,3,5,12,3,6,36
1,1,2,9,11,4,10,36
1,1,2,5,11,5,6,33
1,1,2,5,7,4,10,31
1,25,3,5,10,7,9,25
2,1,3,11,12,2,6,72
2,1,2,8,10,8,9,57
2,1,2,8,11,8,9,57
2,1,2,8,10,8,9,57
2,1,2,8,11,8,9,57
2,1,1,11,12,2,6,54
2,1,2,5,10,3,9,42
2,1,3,5,10,3,9,42
2,1,2,11,12,2,10,40
2,1,2,5,11,8,9,39
2,1,2,5,11,8,9,39
2,1,2,5,11,8,9,39
2,1,2,8,16,8,9,33
2,39,3,9,7,3,2,33
2,11,3,5,10,4,9,31
2,1,3,8,10,3,9,27
3,1,3,11,12,2,6,87
3,1,2,8,10,8,9,63
3,1,2,8,10,8,9,63
3,1,2,8,11,2,6,57
3,1,3,8,12,2,6,51
3,1,2,11,12,2,6,51
3,1,2,8,2,8,9,48
3,1,2,11,10,8,9,48
3,1,1,17,11,2,9,45
3,1,2,8,12,6,6,42
3,1,2,5,10,5,6,42
3,1,1,11,12,3,6,36
3,1,2,5,11,3,9,33
3,1,1,11,10,2,6,33
3,1,2,12,2,8,9,21
3,1,2,5,0,8,9,0
4,1,3,11,12,2,6,87
4,1,2,8,10,8,9,61
4,1,2,11,12,9,9,60
4,1,2,8,10,2,6,51
4,1,3,8,12,2,6,51
4,1,3,8,12,2,6,51
4,1,3,8,12,2,6,51
4,1,2,9,10,2,6,48
4,1,2,11,11,2,6,48
4,1,2,8,2,8,9,45
4,1,2,8,2,8,9,45
4,10,2,8,5,2,6,39
4,1,3,8,19,2,6,33
4,1,3,8,2,2,6,33
4,1,1,8,12,2,6,12
4,1,3,11,2,8,9,4
5,1,3,11,12,2,6,87
5,1,2,8,10,8,9,69
5,1,2,8,10,8,9,69
5,1,3,11,12,2,9,69
5,1,2,8,10,8,6,57
5,1,2,11,12,2,6,48
5,1,2,11,12,9,9,48
5,1,2,8,12,2,6,45
5,1,2,8,12,2,6,45
5,1,2,11,12,2,9,39
5,1,3,8,12,2,6,30
5,1,3,8,12,2,6,30
5,1,3,8,12,2,6,30
5,1,3,8,12,2,6,30
5,1,1,8,10,9,6,21
5,1,3,8,12,8,0,3
6,1,3,11,12,2,6,81
6,1,3,11,12,2,6,81
6,1,3,11,10,2,9,69
6,1,3,11,12,2,9,60
6,1,3,11,10,2,6,51
6,1,2,8,10,8,9,48
6,1,2,8,10,8,9,48
6,1,2,8,10,8,9,48
6,1,2,8,12,8,9,42
6,1,2,8,12,8,9,42
6,1,2,11,12,2,6,42
6,1,2,8,10,8,6,27
6,1,3,8,12,8,9,24
6,1,3,8,10,2,9,21
6,1,3,11,12,9,6,21
6,1,4,8,10,8,6,15
7,1,3,11,12,2,6,72
7,1,3,11,12,2,6,72
7,1,3,11,12,2,6,72
7,1,3,11,10,2,9,57
7,25,3,11,10,2,9,57
7,1,3,11,12,2,9,54
7,1,2,8,10,8,9,51
7,1,3,8,12,8,9,45
7,101,2,8,12,2,9,42
7,1,2,11,10,8,9,36
7,1,3,11,10,8,9,33
7,1,1,11,10,8,9,30
7,1,2,8,10,4,5,27
7,1,3,8,10,2,9,24
7,26,3,8,10,2,9,24
7,1,2,11,10,2,6,24
8,1,3,11,12,2,6,69
8,1,3,11,12,2,6,69
8,1,3,11,12,2,6,69
8,1,3,11,12,2,6,69
8,92,3,11,12,2,6,69
8,19,3,11,12,2,6,69
8,1,2,8,12,2,9,66
8,32,3,11,10,2,9,33
8,1,3,11,10,2,9,33
8,1,3,11,10,2,9,33
8,25,3,11,12,2,9,30
8,1,3,11,12,2,9,30
8,1,3,11,12,2,9,30
8,25,3,11,12,2,9,30
8,1,3,11,12,8,9,21
8,25,3,11,10,3,0,0
9,1,2,8,12,2,8,63
9,19,2,8,12,2,9,63
9,1,2,8,12,2,9,63
9,1,3,11,12,2,6,51
9,19,3,11,12,2,6,51
9,19,3,11,12,2,6,51
9,1,3,11,12,2,6,51
9,1,3,11,12,2,6,51
9,1,3,11,12,2,6,51
9,1,3,11,12,2,6,51
9,1,1,11,12,2,6,45
9,19,2,11,12,2,6,36
9,1,3,8,12,2,6,24
9,1,3,11,12,2,9,24
9,1,3,11,12,5,6,24
9,1,3,11,12,10,6,21
10,19,2,8,12,2,9,57
10,1,2,8,12,2,8,54
10,1,2,8,12,2,8,54
10,1,2,8,12,2,8,54
10,19,2,8,12,2,6,51
10,1,3,11,12,2,6,48
10,19,3,11,12,2,6,48
10,19,3,11,12,2,6,48
10,99,3,11,12,7,6,48
10,1,3,11,12,2,6,48
10,19,3,8,12,2,9,42
10,1,3,13,12,2,6,42
10,78,3,8,12,2,6,39
10,1,2,11,12,2,6,39
10,1,3,11,14,10,6,36
10,1,4,11,12,2,6,12
11,1,3,11,12,2,6,66
11,19,2,11,12,2,8,60
11,1,2,11,12,2,6,57
11,19,2,8,12,2,6,54
11,1,2,8,12,2,6,54
11,1,2,8,12,2,6,54
11,67,2,8,12,2,6,54
11,1,3,11,12,2,8,51
11,1,3,8,12,2,6,42
11,19,2,16,12,2,8,39
11,19,3,8,12,2,8,33
11,1,2,8,12,4,6,33
11,1,4,8,12,2,6,33
11,1,2,8,12,2,8,30
11,19,2,8,12,2,9,30
11,1,2,8,12,2,8,30
12,1,3,11,12,2,6,84
12,1,3,11,12,2,6,84
12,1,3,11,12,2,6,84
12,19,2,11,12,2,8,66
12,1,2,18,12,2,8,60
12,1,2,8,12,2,6,39
12,1,2,8,12,2,6,39
12,19,2,8,12,2,6,39
12,1,2,8,12,2,6,39
12,19,2,8,12,2,6,39
12,1,2,8,12,2,6,39
12,1,2,8,12,2,6,39
12,67,2,8,12,2,6,39
12,1,3,10,12,2,6,15
12,97,3,8,12,2,6,12
12,19,2,11,2,2,8,3
13,1,3,11,12,2,6,78
13,1,3,11,12,2,6,78
13,1,3,11,12,2,6,78
13,1,3,11,12,2,6,78
13,1,3,11,12,2,6,78
13,1,2,11,12,2,6,54
13,1,2,11,12,2,8,51
13,71,2,18,12,2,8,42
13,22,2,18,12,2,8,42
13,1,2,8,12,2,6,27
13,1,2,8,12,2,6,27
13,1,2,8,12,2,6,27
13,1,2,8,12,2,6,27
13,99,3,8,12,2,6,21
13,1,3,11,13,2,6,12
13,19,2,11,18,2,5,0
14,1,3,11,12,2,6,51
14,1,3,11,12,2,6,51
14,1,3,11,12,2,6,51
14,1,3,11,12,2,6,51
14,1,3,11,12,2,6,51
14,1,3,11,12,2,6,51
14,1,3,11,12,2,6,51
14,1,3,11,12,2,6,51
14,1,3,11,12,2,6,51
14,1,3,11,12,2,6,51
14,1,3,11,12,2,6,51
14,1,3,11,12,2,6,51
14,1,3,11,12,2,6,51
14,1,3,11,12,2,6,51
14,1,3,11,12,4,6,6
14,1,2,11,12,2,0,0
15,1,3,11,12,2,6,51
15,1,3,11,12,2,6,51
15,1,3,11,12,2,6,51
15,1,3,11,12,2,6,51
15,1,3,11,12,2,6,51
15,1,3,11,12,2,6,51
15,1,3,11,12,2,6,51
15,1,3,11,12,2,6,51
15,1,3,11,12,2,6,51
15,1,3,11,12,2,6,51
15,1,3,11,12,2,6,51
15,1,3,11,12,2,6,51
15,1,1,11,12,2,6,42
15,1,1,11,12,2,6,42
15,1,3,11,17,2,6,15
15,1,4,11,12,2,6,9
16,1,3,11,12,2,6,60
16,1,3,11,12,2,6,60
16,1,3,11,12,2,6,60
16,1,3,11,12,2,6,60
16,1,3,11,12,2,6,60
16,1,3,11,12,2,6,60
16,1,3,11,12,2,6,60
16,1,3,11,12,2,6,60
16,1,3,11,12,2,6,60
16,1,3,11,12,2,6,60
16,1,1,11,12,2,6,45
16,96,3,16,12,5,6,21
16,1,2,11,12,2,6,18
16,1,4,11,12,2,6,18
16,1,3,11,12,10,6,12
16,1,3,11,12,2,1,6
17,1,3,11,12,2,6,51
17,1,3,11,12,2,6,51
17,1,3,11,12,2,6,51
17,1,3,11,12,2,6,51
17,1,3,11,12,2,6,51
17,1,3,11,12,2,6,51
17,1,3,11,12,2,6,51
17,1,3,11,12,2,6,51
17,1,3,11,12,2,6,51
17,1,3,11,12,2,6,51
17,1,3,11,12,2,6,51
17,94,3,11,12,2,6,51
17,1,3,11,12,2,6,51
17,70,3,11,12,7,6,45
17,1,3,11,12,3,6,6
17,1,3,11,11,2,6,6
18,1,3,11,12,2,6,48
18,1,3,11,12,2,6,48
18,1,3,11,12,2,6,48
18,16,3,11,12,2,6,48
18,1,3,11,12,2,6,48
18,1,3,11,12,2,6,48
18,1,3,11,12,2,6,48
18,1,3,11,12,2,6,48
18,1,3,11,12,2,6,48
18,1,3,11,12,2,6,48
18,1,3,11,12,2,6,48
18,1,3,11,12,2,6,48
18,1,3,11,12,2,6,48
18,1,3,11,12,2,6,48
18,1,3,18,12,2,6,42
18,1,3,11,12,2,9,6
19,1,3,11,12,2,6,54
19,1,3,11,12,2,6,54
19,1,3,11,12,2,6,54
19,1,3,11,12,2,6,54
19,1,3,11,12,2,6,54
19,1,3,11,12,2,6,54
19,16,3,11,12,2,6,54
19,16,3,11,12,2,6,54
19,1,3,11,12,2,6,54
19,1,3,11,12,2,6,54
19,1,3,11,12,6,6,39
19,1,3,11,12,8,6,39
19,1,3,11,12,8,6,39
19,1,3,11,12,7,10,24
19,1,3,11,12,10,6,21
19,1,3,11,8,2,6,18
20,1,3,11,12,2,6,48
20,1,3,11,12,2,6,48
20,16,3,11,12,2,6,48
20,16,3,11,12,2,6,48
20,1,3,11,12,2,6,48
20,1,3,11,12,2,6,48
20,1,3,11,12,2,6,48
20,1,3,11,12,2,6,48
20,1,3,11,12,2,6,48
20,1,3,11,12,2,6,48
20,1,3,11,12,2,6,48
20,1,3,11,12,2,6,48
20,1,3,11,12,2,6,48
20,16,3,11,12,2,6,48
20,1,1,11,12,2,6,42
20,1,3,11,18,2,6,6
21,1,3,3,12,2,6,87
21,16,3,4,19,2,6,87
21,1,3,11,12,2,6,45
21,1,3,11,12,2,6,45
21,1,3,11,12,2,6,45
21,16,3,11,12,2,6,45
21,16,3,11,12,2,6,45
21,1,3,11,12,2,6,45
21,16,3,11,12,2,6,45
21,16,3,11,12,2,6,45
21,1,3,11,12,2,6,45
21,1,3,11,12,2,6,45
21,1,3,11,12,2,6,45
21,1,3,11,12,2,6,45
21,1,3,11,19,2,6,6
21,1,3,11,12,2,0,0
22,16,3,4,19,2,6,75
22,16,3,4,19,2,6,75
