Generacion,k,e,aa,da,af,df,puntos
0,52,3,3,12,7,9,25
0,1,2,11,6,1,8,24
0,1,2,12,9,6,7,22
0,61,2,10,5,3,8,22
0,11,2,8,5,3,6,13
0,66,4,20,7,9,10,9
0,1,1,0,10,3,1,9
0,76,4,20,10,4,9,9
0,33,3,9,19,1,4,9
0,39,3,5,13,3,10,8
0,61,3,8,2,10,5,7
0,27,1,16,16,7,10,5
0,41,2,9,4,2,8,5
0,90,1,17,14,5,0,4
0,9,1,15,10,8,7,3
0,1,1,0,1,0,7,0
1,52,3,3,12,7,9,24
1,1,2,12,9,6,7,22
1,1,2,11,6,1,8,21
1,11,2,8,5,3,6,19
1,1,2,11,6,1,8,10
1,1,2,11,14,7,8,9
1,11,2,8,5,3,10,9
1,1,2,11,2,1,8,9
1,11,2,8,5,1,6,9
1,1,4,12,9,6,7,9
1,1,1,0,5,3,1,8
1,52,4,20,10,9,10,6
1,52,3,3,12,7,9,6
1,61,2,0,10,3,8,6
1,52,3,3,12,7,9,6
1,10,1,0,15,3,1,4
2,11,2,3,12,3,9,27
2,1,2,11,14,7,8,24
2,52,3,3,12,7,9,22
2,11,2,8,5,6,7,21
2,1,2,11,6,1,8,12
2,1,3,11,12,9,9,10
2,1,2,12,16,6,7,9
2,1,2,11,9,1,7,9
2,11,2,14,5,3,10,9
2,11,2,8,5,3,8,8
2,11,2,3,5,3,9,7
2,11,2,8,5,7,1,6
2,1,2,12,9,6,7,6
2,11,2,8,5,1,10,4
2,1,2,8,17,3,3,3
2,1,2,1,6,1,8,0
3,1,2,11,12,9,7,27
3,1,2,11,6,1,7,22
3,1,2,11,6,1,8,19
3,52,3,3,12,7,9,15
3,1,2,12,12,6,7,12
3,1,2,11,5,6,7,9
3,1,2,11,14,7,8,9
3,11,2,3,12,3,9,9
3,1,2,11,6,6,7,9
3,11,2,3,12,3,9,9
3,1,3,11,14,7,8,9
3,1,2,11,14,7,8,9
3,11,2,3,12,3,9,7
3,11,2,3,12,6,7,7
3,1,3,11,20,6,9,3
3,1,3,3,12,9,9,3
4,1,2,11,12,9,7,30
4,1,2,11,12,9,7,27
4,1,2,11,5,4,8,25
4,1,2,11,14,7,8,15
4,1,2,11,14,9,7,13
4,52,3,3,12,7,9,10
4,1,2,7,12,9,7,9
4,1,2,11,6,1,7,9
4,1,2,11,6,1,8,9
4,1,2,3,12,9,9,7
4,1,2,11,6,6,8,6
4,1,3,11,12,1,7,6
4,1,2,12,6,1,7,6
4,1,2,12,16,1,7,3
4,1,2,11,5,9,7,3
4,52,2,3,4,7,7,0
5,52,2,3,12,7,9,28
5,1,2,11,12,9,7,21
5,1,2,11,12,9,7,18
5,1,2,11,14,7,8,15
5,1,2,11,12,9,7,12
5,1,3,11,5,4,8,10
5,1,2,7,12,9,7,9
5,1,2,11,12,9,7,9
5,1,2,7,12,9,7,9
5,1,2,7,12,9,7,9
5,1,2,11,5,9,8,9
5,1,2,11,12,9,7,9
5,1,2,7,12,9,7,6
5,1,2,11,7,9,7,6
5,52,2,8,14,7,8,4
5,52,3,0,5,4,8,4
6,1,1,16,14,7,6,36
6,52,2,3,12,7,9,27
6,52,2,3,12,7,9,24
6,1,2,7,12,9,7,15
6,68,2,8,12,9,7,12
6,1,2,7,17,9,7,9
6,52,2,3,12,9,9,9
6,1,2,11,12,9,7,9
6,1,3,11,5,4,8,6
6,101,2,11,12,9,7,6
6,1,3,11,5,4,8,6
6,1,2,11,12,9,7,6
6,1,2,11,12,9,7,6
6,1,2,11,12,9,7,6
6,1,2,7,12,9,7,3
6,1,2,11,14,9,7,0
7,1,1,16,14,7,6,33
7,52,2,3,12,7,9,21
7,1,1,7,17,9,7,21
7,52,2,3,12,7,9,19
7,52,2,3,12,7,9,15
7,1,1,16,14,7,6,15
7,52,2,3,12,9,9,12
7,1,2,3,17,9,7,10
7,52,2,3,12,7,9,6
7,52,2,3,12,9,9,6
7,68,4,8,12,9,7,6
7,52,2,16,14,7,6,6
7,52,2,3,12,9,9,4
7,52,2,7,12,9,9,3
7,1,2,7,12,9,7,0
7,68,2,8,12,9,7,0
8,1,1,16,14,7,6,30
8,1,1,16,14,7,6,27
8,1,1,16,14,7,6,24
8,52,2,3,12,7,9,12
8,52,2,3,12,7,9,12
8,52,1,3,12,7,9,12
8,52,2,3,12,9,7,12
8,1,1,16,14,7,6,12
8,1,1,16,14,7,10,9
8,52,2,3,17,7,9,9
8,52,2,1,12,9,9,6
8,52,2,3,12,9,9,6
8,52,2,3,12,7,9,3
8,52,2,3,12,7,9,3
8,52,2,3,12,7,9,3
8,52,2,7,12,7,9,0
9,17,2,16,12,7,6,30
9,1,1,16,14,7,6,24
9,1,1,16,14,7,6,24
9,52,2,3,12,9,7,18
9,1,1,16,14,7,6,15
9,1,1,16,11,7,6,15
9,75,2,3,12,7,9,12
9,1,1,3,14,7,6,9
9,52,1,3,12,7,9,6
9,52,1,2,12,7,9,6
9,1,1,16,14,7,6,6
9,1,1,16,14,7,6,6
9,1,1,16,14,7,6,6
9,52,2,3,12,9,9,3
9,52,2,3,12,7,9,0
9,52,1,3,12,9,7,0
10,17,2,18,12,7,6,27
10,17,2,16,12,7,6,27
10,1,1,16,14,7,6,18
10,1,1,16,14,7,6,15
10,1,1,16,14,7,6,12
10,1,1,16,14,7,6,12
10,1,1,3,12,9,6,10
10,1,1,16,14,7,6,9
10,1,1,16,11,7,6,9
10,100,1,16,11,7,6,9
10,1,1,16,14,7,6,9
10,1,1,3,14,7,6,7
10,52,2,3,12,6,9,6
10,52,2,3,11,10,7,6
