Generacion,k,e,aa,da,af,df,puntos
0,66,2,14,10,1,3,30
0,33,1,6,6,3,1,24
0,73,1,6,5,5,1,21
0,63,2,10,5,3,8,15
0,34,2,4,14,2,1,12
0,82,3,3,17,1,1,12
0,61,2,10,5,3,8,9
0,61,3,8,2,10,5,9
0,41,2,9,4,2,8,9
0,3,2,10,10,8,9,9
0,1,1,0,10,3,1,6
0,1,2,12,9,6,7,6
0,54,2,11,5,3,9,6
0,1,2,11,6,1,8,6
0,1,1,0,1,0,7,3
0,11,2,8,5,3,6,3
1,33,2,11,6,3,8,30
1,63,2,10,5,1,8,27
1,66,2,14,10,1,1,21
1,66,2,14,10,1,3,21
1,66,1,14,10,3,3,9
1,73,1,6,5,5,1,9
1,73,1,6,5,5,1,9
1,73,1,6,5,5,1,9
1,33,1,6,6,3,1,9
1,66,2,14,10,1,3,9
1,33,1,6,6,3,1,9
1,73,1,14,5,1,1,6
1,63,2,10,5,3,8,6
1,73,1,6,6,4,7,6
1,73,1,6,5,10,3,0
1,63,1,6,6,3,8,0
2,63,2,10,5,1,8,27
2,66,2,13,5,1,8,27
2,33,2,11,6,3,8,24
2,63,2,10,6,1,8,24
2,33,2,14,6,3,8,12
2,63,2,10,5,1,8,12
2,63,2,10,5,1,3,9
2,66,2,14,10,1,3,9
2,10,2,14,15,1,3,9
2,33,2,2,6,3,1,6
2,66,2,14,10,1,1,6
2,33,2,11,5,10,8,6
2,66,2,14,10,1,1,3
2,33,2,11,6,5,3,3
2,66,2,14,10,1,3,3
2,66,1,14,10,1,1,0
3,33,2,10,6,3,8,21
3,66,2,10,5,1,7,21
3,63,2,10,6,1,8,18
3,63,2,10,5,1,6,18
3,33,2,11,6,3,8,12
3,63,2,10,5,1,8,12
3,63,2,10,5,1,8,12
3,66,2,13,5,3,8,9
3,63,2,13,5,1,8,9
3,72,2,11,6,3,8,9
3,63,2,10,6,1,8,9
3,66,2,13,5,1,8,9
3,63,2,10,6,1,8,9
3,66,2,10,5,1,8,9
3,66,1,2,5,1,8,3
3,63,2,10,2,1,8,0
4,33,2,10,5,3,8,33
4,33,2,10,5,3,8,33
4,33,2,10,6,3,8,15
4,63,2,10,6,3,8,12
4,63,2,10,6,1,9,9
4,63,2,10,6,1,8,9
4,66,2,10,5,1,6,9
4,63,2,10,5,1,6,9
4,33,2,10,6,3,8,9
4,66,2,10,5,1,7,9
4,33,2,10,6,3,8,9
4,63,2,10,5,1,6,6
4,63,2,10,5,1,7,6
4,63,2,10,6,1,8,6
4,33,2,10,6,9,8,6
4,66,2,10,3,1,7,0
5,33,2,10,5,3,8,30
5,33,2,10,5,3,8,27
5,33,2,10,16,3,8,21
5,33,2,10,4,3,8,15
5,33,2,10,5,3,8,15
5,33,2,10,5,3,8,9
5,33,2,10,6,3,8,9
5,63,2,10,6,3,8,9
5,33,2,10,5,3,8,9
5,63,2,7,6,3,8,6
5,33,2,10,5,9,9,6
5,63,2,10,6,3,8,6
5,33,2,10,6,3,8,6
5,33,2,10,6,3,8,6
5,33,2,10,5,4,8,3
5,63,2,10,6,3,8,3
6,33,2,10,5,3,8,24
6,33,2,10,5,3,8,21
6,33,2,10,5,3,8,21
6,33,2,10,5,3,8,21
6,33,2,10,5,3,8,15
6,33,2,10,5,3,8,12
6,33,2,10,5,3,8,12
6,33,2,10,5,3,8,12
6,33,2,10,5,3,8,12
6,33,2,10,16,3,8,9
6,33,2,10,16,3,8,9
6,33,2,10,4,3,8,3
6,33,2,10,4,3,8,3
6,33,2,2,16,3,8,3
6,33,2,10,4,3,8,3
6,33,2,10,4,3,8,0
7,33,2,10,5,3,8,24
7,33,2,10,5,3,8,18
7,33,2,10,5,3,8,18
7,101,2,10,5,3,8,18
7,12,2,10,5,3,8,15
7,33,2,10,5,3,8,9
7,33,2,10,5,3,8,9
7,33,2,10,5,3,8,9
7,33,2,10,5,3,8,9
7,33,2,10,5,3,8,9
7,33,2,10,5,3,8,9
7,33,2,10,5,3,8,9
7,33,2,10,5,3,8,9
7,33,2,10,5,3,8,9
7,68,2,8,5,3,8,3
7,33,2,10,5,9,8,3
8,33,2,10,5,3,8,24
8,101,2,10,5,3,8,21
8,33,2,10,5,3,8,18
8,33,2,10,5,3,8,18
8,33,2,10,5,3,8,15
8,101,2,10,5,3,8,12
8,101,2,10,5,3,8,12
8,33,2,10,5,3,8,9
8,33,2,10,5,3,8,9
8,33,2,10,5,3,8,9
8,33,2,10,5,3,8,9
8,33,2,10,5,3,8,9
8,33,2,10,5,3,8,9
8,33,4,10,5,6,8,3
8,93,2,10,5,6,8,3
8,33,2,17,5,3,8,0
9,33,2,10,5,3,8,24
9,101,2,10,5,3,8,21
9,33,2,10,5,3,8,18
9,33,2,10,5,3,8,18
9,101,2,10,5,3,8,15
9,33,2,10,5,3,8,12
9,51,2,10,5,3,8,12
9,101,2,10,5,3,8,9
9,33,2,10,5,3,8,9
9,33,2,10,5,3,8,9
9,33,2,10,5,3,8,9
9,33,2,10,5,3,8,9
9,101,2,10,5,3,8,9
9,33,2,10,5,2,8,6
9,101,2,10,5,3,0,0
9,33,2,12,5,3,7,0
10,33,2,10,5,3,8,18
10,33,2,10,5,3,8,18
10,101,2,10,5,3,8,18
10,33,2,10,5,3,8,18
10,33,2,10,5,3,8,9
10,78,2,10,5,3,8,9
10,101,2,10,5,3,8,9
10,101,2,10,5,3,8,9
10,33,2,10,5,3,8,9
10,33,2,10,5,3,8,9
10,33,2,10,5,3,8,9
10,33,2,10,5,3,8,9
10,101,2,10,5,3,8,9
10,33,2,10,5,3,8,9
10,33,2,10,5,3,8,9
10,33,2,10,5,3,8,9
11,33,2,10,5,3,8,21
11,33,2,10,5,3,8,18
11,75,2,10,5,3,8,18
11,33,2,10,5,3,8,18
11,101,2,10,5,3,8,12
11,33,2,10,5,3,8,12
11,33,2,10,5,3,8,9
11,33,2,10,5,3,8,9
11,33,2,10,5,3,8,9
11,33,2,2,5,3,8,9
11,33,2,10,5,3,8,9
11,33,2,10,5,3,8,9
11,33,2,10,5,3,8,9
11,33,2,10,5,3,8,9
11,33,2,10,5,3,8,9
11,101,2,11,5,3,8,0
12,33,2,10,5,3,8,18
12,33,2,10,5,3,8,18
12,33,2,10,5,3,8,18
12,33,2,10,5,3,8,18
12,75,2,10,5,3,8,9
12,75,2,10,5,3,8,9
12,33,2,10,5,3,8,9
12,75,1,10,5,3,8,9
12,33,2,10,5,3,8,9
12,75,2,10,5,3,8,9
12,33,2,10,5,3,8,9
12,33,2,10,5,3,8,9
12,33,2,10,5,3,8,9
12,33,2,10,5,3,8,9
12,33,2,10,5,3,8,9
12,33,2,10,5,3,8,9
13,33,2,10,5,3,8,21
13,33,2,10,5,3,8,21
13,33,2,10,5,3,8,18
13,33,2,10,5,3,8,18
13,33,2,10,5,3,8,12
13,33,2,10,5,3,8,12
